severity,confidence,vuln_type,vuln_type_encoded,scanner,exploitability,asset_value,exposure,risk_score,is_false_positive,is_test_file
2,3,broken_access_control,83,CodeScanner,4.68,9.68,6.19,9,0,0
4,2,xss,48,CodeScanner,8.91,5.85,5.32,9,0,0
1,2,path_traversal,63,CodeScanner,6.73,6.92,6.6,7,0,0
2,2,path_traversal,63,CodeScanner,3.3,5.89,6.94,7,0,0
1,2,command_injection,24,CodeScanner,5.68,5.27,5.11,6,0,0
3,3,insecure_api,23,CodeScanner,4.24,5.9,5.49,9,0,0
2,2,insecure_deserialization,14,CodeScanner,2.84,4.49,5.56,7,0,0
4,3,weak_crypto,21,CodeScanner,3.02,5.33,5.32,9,0,0
2,2,broken_access_control,83,CodeScanner,5.17,9.21,6.66,8,0,0
2,3,insecure_api,23,CodeScanner,6.67,4.67,4.72,8,0,1
4,2,xss,48,CodeScanner,6.7,5.55,5.96,9,1,0
3,3,csrf,96,CodeScanner,5.94,4.53,6.77,9,0,0
4,2,security_misconfiguration,62,InfrastructureScanner,6.07,8.39,8.76,9,0,0
3,3,csrf,96,CodeScanner,5.03,6.22,7.51,9,0,0
2,3,insecure_deserialization,14,CodeScanner,2.97,8.95,5.31,8,0,0
2,2,ssrf,42,CodeScanner,4.47,8.81,6.67,8,0,0
2,3,xss,48,CodeScanner,4.35,5.65,6.99,8,0,0
3,2,weak_crypto,21,CodeScanner,6.38,9.8,5.41,9,0,1
3,3,weak_crypto,21,CodeScanner,8.81,4.82,5.65,9,0,1
1,3,ssrf,42,CodeScanner,2.41,5.27,4.35,5,0,0
2,3,path_traversal,63,CodeScanner,3.14,8.83,5.64,8,0,0
3,3,sql_injection,11,CodeScanner,6.29,8.87,5.81,9,0,0
1,2,xss,48,CodeScanner,5.18,8.91,5.03,6,1,0
1,1,broken_access_control,83,CodeScanner,2.48,6.97,4.51,4,0,1
1,3,security_misconfiguration,62,InfrastructureScanner,0.28,7.1,7.03,5,0,0
4,3,insecure_api,23,CodeScanner,7.36,4.97,5.33,9,0,0
3,3,command_injection,24,CodeScanner,4.71,5.9,7.02,9,0,0
2,3,csrf,96,CodeScanner,0.99,8.2,4.61,7,0,0
3,3,insecure_api,23,CodeScanner,5.4,5.52,4.64,9,0,1
3,3,xxe,2,CodeScanner,4.71,5.34,6.4,9,0,0
2,2,vulnerable_dependency,71,DependencyScanner,8.6,6.88,7.02,9,0,0
1,2,xss,48,CodeScanner,4.01,6.93,6.56,6,1,0
3,3,insecure_deserialization,14,CodeScanner,4.89,4.37,5.91,9,0,0
2,3,path_traversal,63,CodeScanner,3.96,8.92,4.86,8,0,0
3,3,xss,48,CodeScanner,2.9,4.89,5.72,9,0,0
3,2,insecure_api,23,CodeScanner,3.58,5.85,5.23,9,0,0
2,3,xxe,2,CodeScanner,4.87,4.53,5.55,8,0,0
2,1,csrf,96,CodeScanner,6.7,7.04,4.96,8,0,0
4,3,path_traversal,63,CodeScanner,7.71,7.38,7.46,9,0,0
3,3,xss,48,CodeScanner,7.56,4.95,6.75,9,0,0
1,2,security_misconfiguration,62,InfrastructureScanner,2.96,7.35,6.68,5,0,0
3,3,path_traversal,63,CodeScanner,7.46,4.22,4.29,9,0,1
3,3,weak_crypto,21,CodeScanner,6.82,6.49,4.27,9,0,0
1,3,insecure_api,23,CodeScanner,4.69,6.69,5.29,6,0,1
2,2,command_injection,24,CodeScanner,3.41,6.78,4.9,7,0,0
3,2,insecure_api,23,CodeScanner,6.69,9.98,6.69,9,0,0
1,2,insecure_api,23,CodeScanner,2.37,5.97,4.71,5,0,0
2,3,insecure_deserialization,14,CodeScanner,4.82,4.45,5.37,8,0,0
2,2,sql_injection,11,CodeScanner,3.72,4.48,5.85,7,0,1
1,2,weak_crypto,21,CodeScanner,2.89,6.45,6.46,5,0,0
2,1,broken_access_control,83,CodeScanner,7.34,6.63,7.99,8,0,0
1,2,hardcoded_secret,47,CodeScanner,1.36,6.62,6.04,5,1,0
2,2,security_misconfiguration,62,InfrastructureScanner,2.55,8.48,7.49,8,1,1
2,3,path_traversal,63,CodeScanner,4.95,9.21,4.94,9,0,0
2,3,insecure_api,23,CodeScanner,7.27,4.36,5.64,9,0,0
1,2,broken_access_control,83,CodeScanner,4.57,6.79,7.13,6,0,1
1,3,security_misconfiguration,62,InfrastructureScanner,5.35,6.4,6.24,7,0,0
1,1,sql_injection,11,CodeScanner,5.28,5.42,4.05,5,1,0
3,2,insecure_deserialization,14,CodeScanner,6.67,6.33,4.26,9,1,0
2,2,hardcoded_secret,47,CodeScanner,1.89,9.2,6.19,7,0,1
4,3,weak_crypto,21,CodeScanner,5.28,5.39,7.89,9,0,0
4,3,broken_access_control,83,CodeScanner,5.47,4.68,5.62,9,0,0
2,1,sql_injection,11,CodeScanner,5.11,6.01,5.85,7,0,0
3,3,insecure_deserialization,14,CodeScanner,5.61,5.02,7.49,9,0,0
2,2,hardcoded_secret,47,CodeScanner,4.56,4.08,4.26,7,0,0
3,3,sql_injection,11,CodeScanner,7.61,4.59,4.75,9,0,1
2,2,broken_access_control,83,CodeScanner,1.97,9.09,7.17,8,0,0
1,1,xss,48,CodeScanner,2.73,6.46,5.25,5,0,0
1,3,xss,48,CodeScanner,2.84,5.9,4.66,5,0,0
4,3,xxe,2,CodeScanner,8.41,4.89,7.67,9,0,1
2,3,broken_access_control,83,CodeScanner,2.39,4.52,6.85,7,0,0
2,3,weak_crypto,21,CodeScanner,0.85,6.21,7.22,7,0,0
4,3,sql_injection,11,CodeScanner,6.88,4.68,7.35,9,0,0
1,2,hardcoded_secret,47,CodeScanner,1.84,9.42,4.24,5,0,0
2,2,insecure_deserialization,14,CodeScanner,6.0,5.14,7.91,8,0,1
2,1,broken_access_control,83,CodeScanner,5.74,6.52,7.93,8,0,0
1,2,insecure_api,23,CodeScanner,1.81,8.41,5.21,5,0,0
2,2,vulnerable_dependency,71,DependencyScanner,2.82,6.88,6.59,7,0,0
2,3,insecure_api,23,CodeScanner,3.04,4.34,4.38,7,0,0
4,3,sql_injection,11,CodeScanner,6.33,9.84,5.78,9,0,0
2,1,xxe,2,CodeScanner,2.37,4.21,5.02,6,0,0
1,2,security_misconfiguration,62,InfrastructureScanner,5.37,7.41,7.34,6,0,0
4,2,path_traversal,63,CodeScanner,2.24,4.88,7.73,9,1,0
1,2,broken_access_control,83,CodeScanner,2.13,8.35,7.72,6,0,0
2,3,xss,48,CodeScanner,6.66,6.46,4.01,9,0,0
1,1,path_traversal,63,CodeScanner,3.18,4.28,6.39,5,0,0
4,3,insecure_api,23,CodeScanner,3.98,4.03,6.54,9,0,0
3,3,insecure_api,23,CodeScanner,5.43,6.08,6.13,9,0,0
4,2,ssrf,42,CodeScanner,5.58,6.08,5.72,9,0,0
1,2,weak_crypto,21,CodeScanner,2.1,4.3,7.56,5,0,1
2,2,insecure_deserialization,14,CodeScanner,1.27,5.04,4.62,6,0,1
4,3,insecure_api,23,CodeScanner,7.62,6.53,6.32,9,0,0
4,3,sql_injection,11,CodeScanner,6.75,7.09,5.55,9,1,0
4,3,vulnerable_dependency,71,DependencyScanner,7.98,6.42,6.33,9,0,0
3,3,path_traversal,63,CodeScanner,8.8,8.66,6.17,9,0,0
3,3,xss,48,CodeScanner,4.12,9.49,6.18,9,0,0
2,2,path_traversal,63,CodeScanner,1.96,4.6,5.58,7,0,1
1,1,hardcoded_secret,47,CodeScanner,6.23,9.24,6.2,6,1,1
1,3,broken_access_control,83,CodeScanner,3.96,5.77,5.5,6,0,0
2,2,missing_authentication,40,CodeScanner,2.74,5.33,6.41,7,0,0
3,2,xss,48,CodeScanner,3.12,9.65,5.79,9,0,0
2,3,ssrf,42,CodeScanner,1.92,5.0,6.93,7,0,0
1,2,xss,48,CodeScanner,2.67,9.26,7.08,6,0,0
2,1,hardcoded_secret,47,CodeScanner,6.3,7.92,6.2,8,0,0
4,2,command_injection,24,CodeScanner,8.87,8.43,4.58,9,0,0
3,2,ssrf,42,CodeScanner,6.42,5.43,4.9,9,0,0
3,3,weak_crypto,21,CodeScanner,5.79,6.46,6.22,9,0,0
2,3,command_injection,24,CodeScanner,1.98,4.81,5.99,7,0,0
2,2,command_injection,24,CodeScanner,6.62,5.75,5.87,8,0,0
1,3,path_traversal,63,CodeScanner,3.01,6.83,5.69,6,0,0
4,3,xss,48,CodeScanner,5.24,7.5,6.85,9,0,0
4,3,insecure_api,23,CodeScanner,6.2,4.31,5.99,9,0,0
2,2,xss,48,CodeScanner,2.05,6.47,7.4,7,0,0
2,2,vulnerable_dependency,71,DependencyScanner,3.22,7.21,7.92,8,0,1
3,3,insecure_deserialization,14,CodeScanner,6.42,4.8,7.34,9,0,1
1,3,missing_authentication,40,CodeScanner,1.9,6.63,4.17,5,0,0
1,3,xxe,2,CodeScanner,2.43,7.88,7.09,6,0,0
2,2,csrf,96,CodeScanner,3.33,6.49,6.42,7,0,0
3,2,vulnerable_dependency,71,DependencyScanner,6.11,6.42,5.17,9,0,0
2,2,weak_crypto,21,CodeScanner,0.97,5.86,7.58,7,0,0
4,3,xss,48,CodeScanner,5.37,6.75,5.16,9,0,0
2,2,broken_access_control,83,CodeScanner,4.86,4.91,7.04,8,0,0
4,2,csrf,96,CodeScanner,4.2,7.5,5.78,9,1,0
4,3,sql_injection,11,CodeScanner,2.58,5.49,5.63,9,0,0
3,3,insecure_api,23,CodeScanner,3.94,9.38,7.63,9,0,0
1,3,weak_crypto,21,CodeScanner,1.45,8.37,7.13,6,0,0
2,1,path_traversal,63,CodeScanner,4.21,4.67,5.29,7,0,0
3,2,vulnerable_dependency,71,DependencyScanner,1.97,6.91,5.27,9,1,1
2,2,xxe,2,CodeScanner,1.7,4.72,4.77,6,1,0
1,3,security_misconfiguration,62,InfrastructureScanner,1.14,8.16,7.69,6,0,0
3,3,xss,48,CodeScanner,4.77,4.61,6.36,9,0,0
4,3,xxe,2,CodeScanner,5.87,9.48,4.19,9,0,0
2,1,missing_authentication,40,CodeScanner,6.37,7.38,7.06,8,1,1
3,3,insecure_deserialization,14,CodeScanner,4.82,7.93,6.93,9,0,0
2,2,path_traversal,63,CodeScanner,3.02,6.71,7.23,7,0,0
2,1,weak_crypto,21,CodeScanner,3.37,8.55,5.08,7,0,0
2,2,sql_injection,11,CodeScanner,3.92,5.11,7.73,8,0,0
2,3,xxe,2,CodeScanner,3.78,4.59,5.38,8,0,0
4,3,xss,48,CodeScanner,5.41,5.52,5.55,9,1,0
1,1,vulnerable_dependency,71,DependencyScanner,0.32,7.11,7.45,4,0,0
2,2,xss,48,CodeScanner,4.34,5.88,5.27,7,0,0
3,3,missing_authentication,40,CodeScanner,5.28,5.06,6.49,9,0,0
2,2,csrf,96,CodeScanner,3.53,7.62,5.53,8,0,0
2,1,xxe,2,CodeScanner,3.78,8.3,7.92,8,1,1
4,3,sql_injection,11,CodeScanner,9.18,8.56,4.3,9,0,0
3,2,xss,48,CodeScanner,5.96,9.85,5.19,9,0,1
4,3,hardcoded_secret,47,CodeScanner,8.81,6.02,6.33,9,0,0
1,3,command_injection,24,CodeScanner,4.21,6.1,6.72,6,1,0
1,2,hardcoded_secret,47,CodeScanner,2.51,4.64,6.66,5,0,0
4,3,command_injection,24,CodeScanner,8.99,4.03,6.36,9,0,0
2,2,security_misconfiguration,62,InfrastructureScanner,4.89,7.79,7.78,8,0,0
1,3,command_injection,24,CodeScanner,0.78,5.56,4.27,5,0,0
1,2,insecure_deserialization,14,CodeScanner,1.25,5.5,6.14,5,0,1
1,2,command_injection,24,CodeScanner,2.1,8.47,7.71,6,0,1
4,3,csrf,96,CodeScanner,8.3,6.48,5.78,9,1,0
3,3,insecure_api,23,CodeScanner,1.99,4.92,7.66,9,0,0
3,2,security_misconfiguration,62,InfrastructureScanner,6.6,8.49,7.05,9,0,0
1,3,xxe,2,CodeScanner,1.19,4.54,6.78,5,0,0
2,3,sql_injection,11,CodeScanner,5.94,5.24,6.93,9,0,0
4,2,ssrf,42,CodeScanner,8.41,4.7,4.88,9,0,0
2,3,path_traversal,63,CodeScanner,3.82,7.98,6.19,8,1,0
4,3,ssrf,42,CodeScanner,8.25,8.18,7.58,9,0,0
1,2,weak_crypto,21,CodeScanner,2.5,9.14,7.53,6,0,0
1,3,missing_authentication,40,CodeScanner,1.69,4.55,7.42,5,0,0
2,2,weak_crypto,21,CodeScanner,2.26,6.95,5.8,7,0,0
1,2,hardcoded_secret,47,CodeScanner,1.58,8.11,5.86,5,0,0
1,2,vulnerable_dependency,71,DependencyScanner,2.82,5.29,5.31,5,0,1
2,3,broken_access_control,83,CodeScanner,4.5,5.86,6.97,8,0,0
3,2,insecure_api,23,CodeScanner,8.46,5.62,7.03,9,0,0
3,2,vulnerable_dependency,71,DependencyScanner,5.53,7.72,6.52,9,1,0
4,3,command_injection,24,CodeScanner,7.91,5.91,6.99,9,0,0
2,2,insecure_api,23,CodeScanner,5.03,5.38,7.93,8,0,0
3,3,hardcoded_secret,47,CodeScanner,8.39,6.69,7.55,9,0,0
2,1,missing_authentication,40,CodeScanner,4.53,6.71,7.73,8,0,0
1,2,xss,48,CodeScanner,2.97,6.35,6.26,5,0,0
4,2,xss,48,CodeScanner,6.87,4.02,7.75,9,0,0
2,3,xss,48,CodeScanner,2.2,8.79,7.71,8,0,0
2,2,weak_crypto,21,CodeScanner,8.36,5.51,7.8,9,0,0
3,3,insecure_deserialization,14,CodeScanner,7.73,4.83,4.62,9,0,0
3,2,ssrf,42,CodeScanner,1.69,4.07,4.69,8,0,0
1,2,hardcoded_secret,47,CodeScanner,0.17,9.76,6.33,5,0,0
2,1,insecure_deserialization,14,CodeScanner,4.59,5.79,6.01,7,0,0
2,2,vulnerable_dependency,71,DependencyScanner,4.54,5.19,6.01,8,0,1
2,3,sql_injection,11,CodeScanner,7.56,8.42,4.22,9,0,0
4,3,ssrf,42,CodeScanner,6.22,7.7,4.52,9,0,0
3,3,path_traversal,63,CodeScanner,4.83,4.91,5.25,9,0,1
4,3,xxe,2,CodeScanner,8.68,6.18,6.3,9,0,0
3,2,ssrf,42,CodeScanner,7.55,8.57,5.88,9,0,0
1,2,insecure_deserialization,14,CodeScanner,1.54,4.38,4.79,4,1,0
2,2,xss,48,CodeScanner,2.75,4.84,4.53,7,1,0
3,2,xss,48,CodeScanner,3.88,4.43,5.5,9,0,0
3,3,vulnerable_dependency,71,DependencyScanner,6.56,6.77,7.26,9,0,0
2,3,sql_injection,11,CodeScanner,4.47,6.76,4.16,8,0,0
1,2,security_misconfiguration,62,InfrastructureScanner,1.36,8.28,7.54,5,0,0
3,3,command_injection,24,CodeScanner,6.71,5.53,6.01,9,1,1
1,3,sql_injection,11,CodeScanner,2.9,6.32,7.66,6,0,0
3,3,insecure_api,23,CodeScanner,8.0,9.03,6.26,9,0,0
3,3,command_injection,24,CodeScanner,4.84,8.0,5.18,9,0,1
2,2,vulnerable_dependency,71,DependencyScanner,6.03,7.22,5.83,8,0,0
2,2,hardcoded_secret,47,CodeScanner,5.91,7.94,7.4,9,0,1
1,1,sql_injection,11,CodeScanner,3.82,8.79,4.6,5,0,0
3,2,command_injection,24,CodeScanner,2.8,9.82,7.14,9,0,0
2,2,insecure_api,23,CodeScanner,3.14,7.55,5.37,7,0,0
3,3,insecure_deserialization,14,CodeScanner,7.27,5.9,6.33,9,0,0
3,3,vulnerable_dependency,71,DependencyScanner,6.15,6.97,7.7,9,0,0
4,2,sql_injection,11,CodeScanner,6.87,8.76,4.91,9,0,0
4,3,missing_authentication,40,CodeScanner,6.21,9.81,7.27,9,0,0
1,2,ssrf,42,CodeScanner,3.13,4.41,6.76,5,0,0
2,2,insecure_deserialization,14,CodeScanner,6.46,8.4,5.93,9,0,0
4,3,ssrf,42,CodeScanner,7.03,9.04,4.31,9,0,0
2,2,ssrf,42,CodeScanner,6.25,4.21,5.67,8,0,1
4,3,vulnerable_dependency,71,DependencyScanner,4.8,5.14,5.96,9,0,0
4,3,command_injection,24,CodeScanner,9.24,4.55,4.63,9,1,0
3,3,path_traversal,63,CodeScanner,4.64,7.94,7.35,9,0,1
2,2,xxe,2,CodeScanner,6.85,6.19,7.3,9,0,1
1,2,insecure_deserialization,14,CodeScanner,3.4,8.64,5.1,6,0,0
4,2,missing_authentication,40,CodeScanner,6.63,6.42,7.79,9,0,0
2,3,vulnerable_dependency,71,DependencyScanner,1.9,5.2,7.66,7,0,0
2,1,xxe,2,CodeScanner,5.5,8.18,4.4,8,1,1
3,2,hardcoded_secret,47,CodeScanner,7.24,7.84,5.11,9,0,1
4,3,vulnerable_dependency,71,DependencyScanner,7.16,7.36,5.92,9,0,1
2,1,path_traversal,63,CodeScanner,5.29,8.54,4.78,8,1,1
1,2,vulnerable_dependency,71,DependencyScanner,4.24,6.35,6.01,6,1,0
1,1,csrf,96,CodeScanner,0.07,4.48,6.29,4,0,0
2,3,hardcoded_secret,47,CodeScanner,5.11,5.75,5.35,8,0,0
3,3,insecure_deserialization,14,CodeScanner,4.5,9.02,7.3,9,0,0
4,3,command_injection,24,CodeScanner,6.37,8.33,6.02,9,0,1
2,2,ssrf,42,CodeScanner,2.83,5.28,5.32,7,0,0
4,3,csrf,96,CodeScanner,7.37,4.76,5.88,9,0,0
3,3,ssrf,42,CodeScanner,7.03,6.02,7.39,9,0,0
1,3,sql_injection,11,CodeScanner,1.46,4.97,6.64,5,0,0
4,3,insecure_deserialization,14,CodeScanner,4.43,5.4,4.05,9,0,1
2,3,hardcoded_secret,47,CodeScanner,4.73,5.19,7.22,8,0,0
2,1,xxe,2,CodeScanner,5.62,4.43,6.86,7,0,0
1,3,path_traversal,63,CodeScanner,3.26,7.82,4.87,6,0,0
2,1,csrf,96,CodeScanner,4.75,9.44,7.7,8,0,0
4,3,weak_crypto,21,CodeScanner,7.11,5.07,5.02,9,0,1
1,3,missing_authentication,40,CodeScanner,2.08,6.97,4.9,5,0,0
4,2,insecure_api,23,CodeScanner,6.92,5.75,7.25,9,0,0
2,3,sql_injection,11,CodeScanner,5.43,4.36,6.29,8,0,0
2,3,xss,48,CodeScanner,2.02,5.85,7.4,8,0,0
2,2,security_misconfiguration,62,InfrastructureScanner,3.78,8.5,8.93,8,1,0
2,3,vulnerable_dependency,71,DependencyScanner,5.01,5.92,6.84,8,0,0
4,3,vulnerable_dependency,71,DependencyScanner,4.75,7.2,7.77,9,0,0
3,3,insecure_deserialization,14,CodeScanner,7.96,4.75,4.48,9,0,0
1,2,security_misconfiguration,62,InfrastructureScanner,3.37,8.82,8.62,6,0,0
3,3,insecure_deserialization,14,CodeScanner,8.5,5.95,7.82,9,0,0
2,1,xxe,2,CodeScanner,2.82,8.86,6.79,7,1,0
1,2,command_injection,24,CodeScanner,4.99,6.72,5.59,6,1,0
1,2,ssrf,42,CodeScanner,1.67,4.6,5.26,4,0,0
1,2,hardcoded_secret,47,CodeScanner,4.45,5.74,7.74,6,0,0
1,2,weak_crypto,21,CodeScanner,4.33,5.05,6.44,6,1,1
2,3,command_injection,24,CodeScanner,2.8,6.48,6.35,8,0,0
3,3,insecure_deserialization,14,CodeScanner,4.43,4.49,5.66,9,0,1
3,2,security_misconfiguration,62,InfrastructureScanner,6.57,8.0,6.24,9,1,0
2,2,xss,48,CodeScanner,0.97,4.81,4.78,6,1,0
4,3,xss,48,CodeScanner,7.91,7.29,4.18,9,0,0
2,2,weak_crypto,21,CodeScanner,1.07,6.39,7.03,7,1,0
1,2,xxe,2,CodeScanner,6.95,5.93,5.64,6,0,0
